year,period,rank,company,value_musd,ref_url,table_note,wiki_revision
2021,Q3,4,Amazon,1664000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,4,Amazon,1691000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,5,Meta,838720.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,5,Meta,985920.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,5,Meta,956890.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,5,Tesla,1061000.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,6,Tencent,766970.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,6,Tencent,721460.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,6,Tesla,776850.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,6,Meta,935640.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,7,Tesla,641110.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q2,7,Tesla,654780.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q3,7,Berkshire Hathaway,619950.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q4,7,Nvidia,732920.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
2021,Q1,8,Alibaba Group,615010.0,,"This list is up to date as of December 31, 2021 [update] . Indicated changes in market value are relative to the previous quarter.",1371146339
